"the"	1572530
"quot"	1400092
"gt"	1211881
"lt"	1205636
"id"	1142726
"of"	972021
"in"	658172
"text"	604105
"title"	539585
"to"	488669
"page"	439533
"is"	406945
"format"	386248
"model"	381440
"revision"	380458
"category"	380445
"ns"	378528
"timestamp"	377859
"contributor"	377213
"sha1"	376839
"ref"	370300
"username"	361648
"comment"	349660
"parentid"	292767
"on"	243819
"by"	218299
"http"	217151
"for"	215453
"was"	213271
"it"	209568
"x"	201333
"wiki"	199371
"space"	197034
"xml"	189057
"preserve"	188765
"wikitext"	188559
"name"	179580
"d"	157977
"that"	157381
"www"	156201
"s"	154554
"font"	153498
"user"	153378
"from"	152592
"with"	137737
"style"	136494
"he"	125011
"this"	122896
"com"	122511
"color"	121251
"talk"	120486
"minor"	117012
"or"	112445
"center"	111244
"redirect"	111060
"i"	103372
"small"	102739
"not"	93981
"new"	93612
"people"	91245
"football"	90061
"nbsp"	89131
"united"	86196
"cite"	82964
"first"	82827
"other"	82109
"date"	82018
"url"	79552
"if"	76728
"they"	75749
"his"	75599
"span"	74817
"now"	74414
"states"	72458
"stub"	70339
"one"	70215
"moved"	69238
"have"	69018
"jpg"	68160
"utc"	67562
"c"	66964
"links"	66264
"has"	64517
"right"	64126
"web"	62463
"image"	60500
"publisher"	60136
"player"	59890
"template"	58847
"interwiki"	58262
"provided"	58070
"wikidata"	57277
"can"	56453
"which"	56187
"n"	55927
"de"	55773
"sup"	55726
"file"	55407
"but"	55314
"county"	55054
"and"	633840
"a"	576314
"0"	356332
"''"	301217
"1"	246333
"amp"	243901
"2"	200267
"br"	166194
"as"	158763
"2013"	153682
"align"	148674
"are"	134102
"3"	119983
"at"	112690
"be"	109357
"'''"	106268
"an"	100249
"4"	93653
"10"	92809
"b"	84054
"5"	81057
"03"	77607
"american"	72632
"2009"	69098
"2008"	67943
"11"	65986
"accessdate"	65050
"2010"	64278
"bot"	63625
"12"	63550
"also"	63113
"6"	61993
"14"	61636
"bgcolor"	60576
"2011"	59628
"2012"	55152
"2007"	54021
"addbot"	53491
"7"	53190
"293183"	52575
"8"	49462
"about"	46744
"all"	45466
"background"	44628
"awb"	42953
"2006"	42896
"9"	42863
"20"	40909
"15"	39734
"after"	39392
"13"	38673
"16"	37228
"04"	35826
"18"	35750
"02"	35317
"01"	35091
"17"	34226
"22"	33302
"19"	32997
"21"	32766
"2005"	32714
"article"	31677
"07"	31305
"auntof6"	31251
"30"	31078
"been"	30823
"25"	30569
"born"	30498
"23"	30211
"08"	29825
"06"	29815
"24"	29123
"05"	29040
"2004"	28823
"british"	28437
"2014"	28398
"09"	27656
"august"	27099
"26"	27015
"april"	26996
"27"	26958
"births"	26747
"area"	26691
"28"	26353
"because"	26022
"22027"	25979
"books"	25975
"29"	25570
"2000"	24424
"album"	23893
"2003"	23877
"book"	23526
"2001"	23374
"000"	23249
"border"	23221
"31"	22301
"2002"	21999
"age"	21940
"articles"	21479
"best"	20896
